AUB,08 24 2021,44.0,44.0,43.85,43.85,1600
BDO,08 24 2021,112.0,113.0,111.1,112.9,896430
BPI,08 24 2021,82.15,83.0,81.85,82.85,1603120
CHIB,08 24 2021,24.5,24.7,24.0,24.1,39400
EW,08 24 2021,9.12,9.3,9.11,9.21,283700
MBT,08 24 2021,46.3,46.5,45.9,46.4,1583000
PNB,08 24 2021,20.8,20.8,20.25,20.45,152600
PSB,08 24 2021,56.0,56.05,56.0,56.05,400
RCB,08 24 2021,19.62,19.7,19.6,19.6,23000
SECB,08 24 2021,113.5,114.0,113.0,113.2,200530
UBP,08 24 2021,78.1,78.5,78.0,78.4,157970
BKR,08 24 2021,1.23,1.29,1.18,1.18,873000
COL,08 24 2021,4.26,4.31,4.26,4.31,128000
FERRO,08 24 2021,3.0,3.0,3.0,3.0,63000
I,08 24 2021,1.23,1.34,1.23,1.32,13000
MED,08 24 2021,0.37,0.37,0.37,0.37,50000
NRCP,08 24 2021,0.68,0.72,0.65,0.65,466000
PSE,08 24 2021,216.0,216.0,216.0,216.0,110
SLF,08 24 2021,2550.0,2550.0,2450.0,2450.0,10
ACEN,08 24 2021,9.13,9.28,9.05,9.28,41010200
ACR,08 24 2021,1.22,1.22,1.18,1.18,86000
AP,08 24 2021,25.2,25.35,25.05,25.25,2520500
BSC,08 24 2021,0.64,0.64,0.61,0.61,33687000
FGEN,08 24 2021,27.2,29.0,27.15,29.0,2758700
FPH,08 24 2021,74.0,74.3,73.95,74.0,45220
MER,08 24 2021,282.0,289.4,281.0,289.0,297860
MWC,08 24 2021,18.0,18.1,17.86,18.1,499600
PCOR,08 24 2021,3.16,3.17,3.14,3.14,552000
PERC,08 24 2021,3.92,3.92,3.92,3.92,8000
PNX,08 24 2021,12.88,12.88,12.66,12.88,2100
SHLPH,08 24 2021,18.48,18.48,18.1,18.46,433800
SPC,08 24 2021,12.72,12.8,12.68,12.76,54100
VVT,08 24 2021,15.5,15.5,15.5,15.5,200
ANI,08 24 2021,5.98,6.09,5.94,6.04,1120500
AXLM,08 24 2021,2.81,2.87,2.81,2.85,54000
CAT,08 24 2021,13.1,13.98,13.1,13.96,12400
CNPF,08 24 2021,24.8,25.15,24.7,25.0,932300
DELM,08 24 2021,12.8,12.96,12.48,12.5,382700
DNL,08 24 2021,8.5,8.5,8.25,8.29,5543800
EMP,08 24 2021,16.26,16.66,15.86,15.98,7035200
FB,08 24 2021,79.5,80.0,79.5,79.7,270240
FOOD,08 24 2021,0.65,0.65,0.65,0.65,41000
FRUIT,08 24 2021,1.18,1.2,1.18,1.19,5260000
GSMI,08 24 2021,102.0,107.9,102.0,107.6,168630
JFC,08 24 2021,196.5,199.9,196.5,199.9,320120
MAXS,08 24 2021,6.09,6.09,6.0,6.08,98000
MG,08 24 2021,0.22,0.234,0.22,0.234,2760000
